标志,ID,人物,位置,内容,跳转,bodyExpression,portraitExpression
#,0,巨噬细胞,左,新兵，这次任务有点特殊。我们去细胞废墟。,1,normal,normal
#,1,T细胞（玩家）,右,细胞废墟？那里有什么情况？,2,normal,normal
#,2,白细胞,左,那里是细胞代谢后的残骸堆积区，但最近出现了异常。,3,normal,normal
#,3,巨噬细胞,左,我们探测到癌细胞在细胞废墟处生成，这非常的危险。,4,normal,normal
#,4,T细胞（玩家）,右,癌细胞？那是什么？,5,normal,normal
#,5,巨噬细胞,左,癌细胞是异常增殖的细胞，它们会破坏正常组织。,6,normal,normal
#,6,白细胞,左,它们会在细胞废墟处找到“藏身之处”，我们必须阻止它们。,7,normal,normal
#,7,巨噬细胞,左,T细胞，你负责监测癌细胞的活动，及时通知我们。,8,normal,normal
#,8,白细胞,左,我会负责清理细胞废墟，防止癌细胞扩散。,9,normal,normal
#,9,T细胞（玩家）,右,我明白了，老师。那我怎么监测？,10,normal,normal
#,10,巨噬细胞,左,观察细胞废墟的异常变化，比如细胞的异常增殖或聚集。,11,normal,normal
#,11,T细胞（玩家）,右,如果发现癌细胞，我们该怎么办？,12,normal,normal
#,12,巨噬细胞,左,一旦发现，我会发出信号，其他细胞会迅速响应。,13,normal,normal
#,13,白细胞,左,我们会协同作战，清除这些癌细胞。,14,normal,normal
#,14,T细胞（玩家）,右,我会保持警惕，不放过任何异常。,15,normal,normal
#,15,肖尧导师,左,看到你们的准备，继续加油！,16,normal,normal
#,16,金枝导师,左,保持警惕，保卫细胞健康！,17,normal,normal
#,17,巨噬细胞,左,这次任务是让你熟悉癌细胞的监测和应对策略。,18,normal,normal
#,18,T细胞（玩家）,右,谢谢老师！我感觉我学到很多！,19,normal,normal
#,19,巨噬细胞,左,真好！进步很大啊！,20,normal,normal
#,20,巨噬细胞,左,【任务完成：细胞废墟的癌细胞监测】,21,normal,normal
#,21,巨噬细胞,左,【解锁知识点：癌细胞的监测与应对】,22,normal,normal
end,22,,,,,,
