标志,ID,人物,位置,内容,跳转,bodyExpression,portraitExpression
#,0,巨噬细胞,左,任务完成，我们返回细胞城吧。,1,normal,normal
#,1,T细胞（玩家）,右,是！老师，这次任务真的学到了很多。,2,normal,normal
#,2,白细胞,左,这次的经历太不寻常了，我们面对了很多挑战。,3,normal,normal
#,3,B细胞,左,是啊，尤其是最后的战斗，太紧张了。,4,normal,normal
#,4,巨噬细胞,左,这次任务的成功，离不开大家的努力。T细胞，你做得很好。,5,normal,normal
#,5,T细胞（玩家）,右,谢谢老师！我也很感谢大家的帮助。,6,normal,normal
#,6,白细胞,左,我们一起面对困难，这才有了最后的胜利。,7,normal,normal
#,7,金枝导师,左,看到你们的成长，我很欣慰。你们做得很好。,8,normal,normal
#,8,肖尧导师,左,记住这次的经历，未来还有更多挑战等着你们。,9,normal,normal
#,9,白细胞,左,这次任务只是开始，未来我们还会面对更多挑战。,10,normal,normal
#,10,巨噬细胞,左,是的，我们会一起保卫细胞城，保护宿主的健康。,11,normal,normal
#,11,B细胞,左,好了，今天的任务就到这里。大家好好休息，准备迎接下一次挑战。,12,normal,normal
#,12,T细胞（玩家）,右,谢谢大家，这次旅程让我成长了很多。,13,normal,normal
#,13,T细胞（玩家）,右,【任务总结：细胞城的守护者】,14,normal,normal
#,14,T细胞（玩家）,右,【解锁知识点：团队合作与未来挑战】,15,normal,normal
end,15,,,,,,
