标志,ID,人物,位置,内容,跳转,bodyExpression,portraitExpression
#,0,巨噬细胞,左,新兵，我们到了咽喉前线的核心区域。情况有点不对劲。,1,normal,normal
#,1,T细胞（玩家）,右,老师，有什么异常吗？,2,normal,normal
#,2,巨噬细胞,左,看那边，有大量细菌聚集。这是肺炎链球菌的军团。,3,normal,normal
#,3,肺炎链球菌,左,我们可不是好惹的！,4,normal,normal
#,4,白细胞,左,肺炎链球菌？这可不是好惹的家伙。它们喜欢集体行动。,5,normal,normal
#,5,巨噬细胞,左,没错，这次的敌人比上次更强。我们要小心应对。,6,normal,normal
#,6,T细胞（玩家）,右,啊！那我们该怎么办？,7,normal,normal
#,7,巨噬细胞,左,小伙子，你作为T细胞负责标记这些细菌，让其他细胞知道目标。,8,normal,normal
#,8,白细胞,左,我会负责清理这些细菌，你们标记后我就能迅速行动。,9,normal,normal
#,9,T细胞（玩家）,右,我明白了，老师，我该怎么标记？,10,normal,normal
#,10,巨噬细胞,左,记住它们的特征，然后发出信号。这是你的任务。,11,normal,normal
#,11,T细胞（玩家）,右,好的！感觉这次没那么紧张了,12,normal,normal
#,12,巨噬细胞,左,有进步！干活干活！,13,normal,normal
#,13,白细胞,左,大家一起上，一定能赢！,14,normal,normal
#,14,T细胞（玩家）,右,我会努力的，不辜负大家的期望！,15,normal,normal
#,15,巨噬细胞,左,好，那我们开始行动。T细胞，先标记目标。,16,normal,normal
#,16,肖尧导师,右,保持冷静，发挥你们的职责！,17,normal,normal
#,17,巨噬细胞,左,这次任务主要是让你熟悉标记和团队协作，感觉怎么样？,18,normal,normal
#,18,T细胞（玩家）,右,我感觉我学到很多！,19,normal,normal
#,19,白细胞,左,不错！继续努力,20,normal,normal
#,20,巨噬细胞,左,【任务完成：标记肺炎链球菌军团】,21,normal,normal
#,21,巨噬细胞,左,【解锁知识点：细菌标记与团队协作】,22,normal,normal
end,22,,,,,,
