标志,ID,人物,位置,内容,跳转,bodyExpression,portraitExpression
#,0,T细胞（玩家）,右,我发现了一个需要帮助的细胞！,1,normal,normal
#,1,B细胞,左,它说它迷路了，需要帮助。,2,normal,normal
#,2,白细胞,左,（警惕）等等，这个细胞的信号不对劲。,3,normal,normal
#,3,癌细胞,左,我好像迷路了，能帮帮我吗？,4,normal,normal
#,4,T细胞（玩家）,右,（困惑）它看起来没问题，应该只是迷路了。,5,normal,normal
#,5,白细胞,左,（打断）不，它的信号和正常细胞不一样，小心！,6,normal,normal
#,6,巨噬细胞,左,（严肃）白细胞说得对，这可能是癌细胞伪装的。,7,normal,normal
#,7,癌细胞,左,哈哈，被你们发现了！我就是癌细胞，伪装成普通细胞只是为了接近你们。,8,normal,normal
#,8,T细胞（玩家）,右,可恶，它一直在欺骗我们！,9,normal,normal
#,9,巨噬细胞,左,T细胞，标记它！,10,normal,normal
#,10,T细胞（玩家）,右,标记完成，目标已锁定！,11,normal,normal
#,11,白细胞,左,其他细胞，准备行动！,12,normal,normal
#,12,金枝导师,左,团结一致！,13,normal,normal
#,13,肖尧导师,左,这是最后的战斗，保卫细胞健康！,14,normal,normal
#,14,巨噬细胞,左,（坚定）为了细胞健康，我们绝不退缩！,15,normal,normal
#,15,巨噬细胞,左,（宣布）癌细胞已被清除，任务完成！,16,normal,normal
#,16,T细胞（玩家）,右,谢谢老师们！受益匪浅！,17,normal,normal
#,17,巨噬细胞,左,给你点赞！,18,normal,normal
#,18,巨噬细胞,左,【任务完成：细胞废墟的终极对决】,19,normal,normal
#,19,巨噬细胞,左,【解锁知识点：癌细胞的伪装与识别】,20,normal,normal
end,20,,,,,,
